Customer Name,Customer Segment,Customer State,Discount,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,Unit Price,Zip Code
Chloris Kastensmidt,Consumer,New York,0.08,2012-06-22,43909,High,46,0.37,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,-199.134,East,6199,737.25,2012-06-23,Regular Air,13.18,15.99,14210
Jasper Cacioppo,Home Office,North Carolina,0.05,2012-06-22,3073,Medium,3,0.4,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,-11.5805,South,450,10.58,2012-06-23,Regular Air,4.77,1.98,27801
Jasper Cacioppo,Home Office,North Carolina,0.07,2012-06-22,3073,Medium,3,0.41,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,-2314.74,South,452,2119.67,2012-06-23,Express Air,24.49,699.99,27801
Jasper Cacioppo,Home Office,North Carolina,0.07,2012-06-22,3073,Medium,7,0.39,Technology,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,Office Machines,102.610000000,South,451,45923.76,2012-06-23,Regular Air,24.49,6783.02,27801
Pauline Chand,Small Business,Connecticut,0.07,2012-06-22,32295,High,11,0.58,Technology,Small Box,i1000,Telephones and Communication,-112.244,East,4540,607.597,2012-06-23,Regular Air,5.99,65.99,06439
George Ashbrook,Consumer,Delaware,0.09,2012-06-22,18405,Medium,30,0.37,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,60.2735,East,2538,610.65,2012-06-24,Express Air,8.83,20.98,19934
George Ashbrook,Consumer,Delaware,0.03,2012-06-22,18405,Medium,2,0.65,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,-263.09,East,2539,158.04,2012-06-25,Regular Air,14.52,73.98,19934
Benjamin Venier,Small Business,Maryland,0.05,2012-06-22,33923,Low,34,0.58,Technology,Small Box,i1000,Telephones and Communication,425.754,South,4778,1961.7915,2012-06-26,Regular Air,5.99,65.99,21794
Julie Kriz,Corporate,Illinois,0.01,2012-06-22,40704,Low,6,0.56,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,-2.06,Central,5733,11.57,2012-06-27,Regular Air,0.7,1.76,62444
Sandra Flanagan,Home Office,Utah,0.03,2012-06-23,4193,High,3,0.44,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,64.25,West,611,75.77,2012-06-23,Regular Air,8.99,22.72,84791
Sandra Flanagan,Home Office,Utah,0.07,2012-06-23,4193,High,16,0.39,Office Supplies,Small Box,Avery 491,Labels,14.42,West,612,64.29,2012-06-23,Regular Air,0.99,4.13,84791
Luke Schmidt,Home Office,Florida,0.07,2012-06-23,30083,Not Specified,23,0.58,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,20.43,South,4234,324.28,2012-06-24,Regular Air,3.5,14.56,32122
Ruben Dartt,Corporate,New York,0.03,2012-06-23,7203,High,25,0.38,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,9296.348,East,998,21752.01,2012-06-25,Regular Air,19.99,896.99,10457
Mark Haberlin,Small Business,Colorado,0.05,2012-06-24,31715,Not Specified,44,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-116.87,West,4449,145.19,2012-06-24,Regular Air,3.97,3.28,81124
Joni Blumstein,Home Office,Connecticut,0.02,2012-06-24,18561,Not Specified,9,0.39,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,-38.9,East,2571,45.87,2012-06-25,Regular Air,6.89,4.13,06817
Mark Haberlin,Small Business,Colorado,0.01,2012-06-24,31715,Not Specified,11,0.36,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,-53.8545,West,4450,68.5,2012-06-25,Regular Air,7.57,5.38,81124
Cynthia Voltz,Corporate,Maryland,0,2012-06-24,8576,High,43,0.59,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,-164.25,South,1173,541.45,2012-06-26,Express Air,8.99,11.66,20601
Yana Sorensen,Corporate,California,0.07,2012-06-24,58343,Not Specified,39,0.4,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,11.32,West,8161,121.87,2012-06-26,Regular Air,1.35,3.29,93456
Mark Haberlin,Small Business,Colorado,0.09,2012-06-24,31715,Not Specified,24,0.59,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,-4.09,West,4451,64.11,2012-06-26,Regular Air,0.97,2.78,81124
Olvera Toch,Home Office,Colorado,0.1,2012-06-24,40097,Low,47,0.58,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,-71,West,5666,117.88,2012-06-29,Regular Air,2.4,2.6,80621
Benjamin Patterson,Corporate,Arizona,0.04,2012-06-24,47138,Low,1,0.59,Technology,Small Box,M70,Telephones and Communication,-506.308,West,6627,107.95,2012-07-01,Regular Air,8.99,125.99,85301
Kristina Nunn,Consumer,Arizona,0.05,2012-06-25,55367,Critical,31,0.56,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,-686.01,West,7731,2137.1,2012-06-26,Delivery Truck,46.74,70.98,86409
Darren Powers,Corporate,Utah,0.06,2012-06-25,14596,Critical,19,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-53.75,West,2045,63.14,2012-06-26,Regular Air,3.97,3.28,84741
Ann Steele,Corporate,Idaho,0.02,2012-06-25,44391,Not Specified,16,0.37,Office Supplies,Small Box,Xerox 1996,Paper,-85.23,West,6273,112.81,2012-06-26,Regular Air,9.17,6.48,83810
Rob Haberlin,Consumer,Michigan,0,2012-06-25,33988,Medium,30,0.79,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,-128.47,Central,4787,164.78,2012-06-26,Regular Air,5.14,5.02,49877
Giulietta Dortch,Corporate,Georgia,0.02,2012-06-25,28999,High,34,0.45,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,420.05,South,4073,1177.5,2012-06-26,Regular Air,1.99,33.98,39901
Darren Powers,Corporate,Utah,0.01,2012-06-25,14596,Critical,24,0.43,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,73.33,West,2046,199.12,2012-06-27,Regular Air,0.96,8.34,84741
Maria Bertelson,Home Office,New Jersey,0.01,2012-06-25,28290,Low,3,0.66,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,-179.36,East,3964,523.58,2012-06-27,Express Air,19.99,161.55,07001
Kristina Nunn,Consumer,Arizona,0.05,2012-06-25,55367,Critical,48,0.55,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,129.87,West,7732,571.17,2012-06-27,Regular Air,2.36,11.55,86409
Sean Wendt,Corporate,Mass,0.09,2012-06-25,31553,Critical,32,0.39,Office Supplies,Small Box,Multimedia Mailers,Envelopes,1907.94,East,4425,4906.85,2012-06-27,Regular Air,19.99,162.93,01059
Maria Bertelson,Home Office,New Jersey,0.05,2012-06-25,28290,Low,43,0.74,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,-154.24,East,3965,1307.35,2012-06-29,Express Air,8.65,30.42,07001
Michelle Moray,Corporate,Virginia,0.02,2012-06-25,20037,Low,35,0.42,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,339.58,South,2776,1009.42,2012-06-30,Regular Air,8.55,29.18,23970
Michelle Moray,Corporate,Virginia,0.03,2012-06-25,20037,Low,49,0.57,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,4913.16,South,2775,15137.11,2012-06-30,Delivery Truck,14.7,297.64,23970
Bradley Drucker,Small Business,Washington,0.03,2012-06-26,33797,Not Specified,18,0.36,Office Supplies,Small Box,Xerox 188,Paper,30.53,West,4755,216.87,2012-06-26,Regular Air,5.01,11.34,99403
Bradley Drucker,Small Business,Washington,0.08,2012-06-26,33797,Not Specified,20,0.57,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,653.68,West,4754,4531.34,2012-06-26,Delivery Truck,14.7,297.64,99403
Bradley Drucker,Small Business,Washington,0.02,2012-06-26,33797,Not Specified,44,0.73,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,-449.04,West,4756,574.5,2012-06-27,Regular Air,14.37,12.99,99403
Bradley Drucker,Small Business,Washington,0.06,2012-06-26,33797,Not Specified,18,0.52,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,-22.37,West,4757,262.94,2012-06-27,Regular Air,6.75,14.42,99403
Alan Barnes,Corporate,Michigan,0.06,2012-06-26,19655,High,31,0.51,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,304.42,Central,2726,1143.45,2012-06-27,Regular Air,1.99,39.24,48001
Bradley Drucker,Small Business,Washington,0.05,2012-06-26,33797,Not Specified,29,0.49,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,-103.78,West,4758,138.17,2012-06-28,Express Air,6.6,4.14,99403
Andy Gerbode,Consumer,Texas,0.08,2012-06-26,21830,Low,19,0.56,Technology,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,906.8,Central,3040,6991.65,2012-07-03,Delivery Truck,12.06,399.98,88595
Cindy Schnelling,Corporate,Alabama,0.09,2012-06-27,20549,Not Specified,40,0.67,Office Supplies,Small Box,Fellowes Super Stor/Drawer®,Storage & Organization,-568.71,South,2855,1030.09,2012-06-28,Regular Air,19.99,27.75,36032
Greg Matthias,Home Office,Washington,0.05,2012-06-27,7461,Low,12,0.55,Furniture,Jumbo Drum,Global Leather Executive Chair,Chairs & Chairmats,593.79,West,1024,4080.3,2012-06-29,Delivery Truck,39,350.99,98601
Rick Reed,Consumer,Idaho,0.04,2012-06-27,43362,Critical,33,0.35,Office Supplies,Wrap Bag,Prang Dustless Chalk Sticks,Pens & Art Supplies,2.72,West,6122,58.48,2012-06-29,Regular Air,1,1.68,83555
Liz Price,Consumer,Arizona,0.1,2012-06-27,27813,Medium,10,0.74,Technology,Small Box,Targus USB Numeric Keypad,Computer Peripherals,-131.03,West,3901,401.14,2012-06-29,Regular Air,6.5,40.98,85233
Rick Reed,Consumer,Idaho,0.03,2012-06-27,43362,Critical,45,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,4276.73,West,6123,15963.09,2012-06-30,Delivery Truck,30,350.98,83555
Guy Thornton,Corporate,New Mexico,0.01,2012-06-27,37862,Not Specified,27,0.57,Office Supplies,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Appliances,452.49,West,5327,1603.27,2012-06-30,Regular Air,3.99,59.98,87001
Greg Matthias,Home Office,Washington,0,2012-06-27,7461,Low,28,0.38,Office Supplies,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Envelopes,111.4,West,1025,260.79,2012-07-01,Regular Air,1.39,8.74,98601
Greg Matthias,Home Office,Washington,0.02,2012-06-27,7461,Low,44,0.83,Office Supplies,Wrap Bag,"Brites Rubber Bands, 1 1/2 oz. Box",Rubber Bands,-16.72,West,1026,90.35,2012-07-01,Regular Air,0.7,1.98,98601
Michelle Huthwaite,Home Office,Idaho,0.06,2012-06-28,51623,Critical,17,0.43,Furniture,Small Box,Eldon® Wave Desk Accessories,Office Furnishings,-66.58,West,7241,39.23,2012-06-28,Regular Air,5.33,2.08,83552
Brian Stugart,Corporate,Connecticut,0.02,2012-06-28,13602,Low,13,0.37,Office Supplies,Small Box,Xerox 1910,Paper,267.67,East,1894,660.99,2012-06-28,Regular Air,5.09,48.04,06928
Mike Gockenbach,Consumer,Wisconsin,0.07,2012-06-28,25541,Low,50,0.36,Office Supplies,Small Box,Xerox 1903,Paper,-111.34,Central,3582,297.76,2012-06-30,Regular Air,5.79,5.98,53235
Brian Stugart,Corporate,Connecticut,0.03,2012-06-28,13602,Low,3,0.56,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,-434.37,East,1895,445.34,2012-07-03,Delivery Truck,17.85,145.45,06928
Tamara Manning,Corporate,South Carolina,0.06,2012-06-29,43911,Medium,29,0.6,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,-53.89,South,6200,577.89,2012-06-29,Regular Air,11.17,19.99,29808
Toby Swindell,Small Business,Florida,0.1,2012-06-29,30567,Not Specified,14,0.58,Office Supplies,Jumbo Drum,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,-368.02,South,4291,2690.84,2012-06-29,Delivery Truck,68.02,208.16,32046
Clytie Kelty,Small Business,South Carolina,0.02,2012-06-29,34691,Critical,23,0.56,Technology,Jumbo Drum,Okidata ML184 Turbo Dot Matrix Printers,Office Machines,1425.11,South,4875,7202.94,2012-06-29,Delivery Truck,26.53,306.14,29001
Toby Swindell,Small Business,Florida,0.07,2012-06-29,30567,Not Specified,8,0.4,Office Supplies,Small Box,Tyvek® Side-Opening Peel & Seel® Expanding Envelopes,Envelopes,103.13,South,4292,733.55,2012-06-30,Regular Air,19.99,90.48,32046
Toby Swindell,Small Business,Florida,0.02,2012-06-29,30567,Not Specified,14,0.56,Office Supplies,Wrap Bag,Newell 336,Pens & Art Supplies,7.32,South,4293,62.6,2012-06-30,Regular Air,0.94,4.28,32046
Tamara Manning,Corporate,South Carolina,0,2012-06-29,43911,Medium,36,0.58,Technology,Jumbo Drum,Panasonic KX-P1131 Dot Matrix Printer,Office Machines,2685.19,South,6201,9920.85,2012-06-30,Delivery Truck,17.86,264.98,29808
Tamara Manning,Corporate,South Carolina,0.06,2012-06-29,43911,Medium,23,0.57,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,1278.45,South,6202,7484.31,2012-07-01,Delivery Truck,58.95,320.98,29808
Toby Swindell,Small Business,Florida,0.01,2012-06-29,30567,Not Specified,3,0.45,Furniture,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Office Furnishings,23,South,4294,38.71,2012-07-01,Express Air,7.29,9.48,32046
Clytie Kelty,Small Business,South Carolina,0.1,2012-06-29,34691,Critical,13,0.37,Office Supplies,Small Box,Xerox 1939,Paper,-7.39,South,4877,245.82,2012-07-01,Express Air,9.54,18.97,29001
Clytie Kelty,Small Business,South Carolina,0.08,2012-06-29,34691,Critical,27,0.58,Office Supplies,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Appliances,-168.75,South,4876,217.68,2012-07-01,Regular Air,9.23,7.77,29001
Jennifer Patt,Home Office,Florida,0.08,2012-06-29,8325,Critical,21,0.4,Technology,Jumbo Drum,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Office Machines,-252.93,South,1144,2364.29,2012-07-01,Delivery Truck,56.14,115.99,32099
