Week Number,Quarter Highlighter,Sales (Selected Month),Sales % Difference from Previous,MTD More or Less,YTD Sales (Selected),MTD Sales % Difference,What to show,Days left EoQ,Customer Name,Customer Segment,Customer State,Discount,MTD Profit % Difference,YTD Sales % Difference,MTD Profit (Previous),MTD Profit (Selected),MTD Sales (Previous),레코드 수,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales (Previous Month),Sales,Ship Date,Ship Mode,Shipping Cost,Unit Price,MTD Sales (Selected),YTD Sales (Previous),Zip Code
11,Older,,,Less,,,Central,67,Jessica Myrick,Small Business,Wisconsin,0.1,,,,,,1,2012-06-16,28774,High,32,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-111.8,Central,4031,,$180,2012-06-17,Regular Air,4.69,5.98,,,53081
11,Older,,,Less,,,West,67,Matt Collister,Home Office,Idaho,0.08,,,,,,1,2012-06-16,13729,Not Specified,9,0.82,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,-342.91,West,1914,,$872,2012-06-18,Express Air,35,95.99,,,83877
12,Older,,,Less,,,West,67,Alan Schoenberger,Corporate,Colorado,0,,,,,,1,2012-06-17,37537,Low,4,0.56,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,-193.08,West,5272,,"$1,239",2012-06-17,Delivery Truck,48.8,291.73,,,80001
12,Older,,,Less,,,East,67,Elizabeth Moffitt,Consumer,Connecticut,0.08,,,,,,1,2012-06-17,44069,Critical,43,0.39,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,247.79,East,6224,,$615,2012-06-17,Regular Air,1.97,15.04,,,06928
12,Older,,,Less,,,West,67,Alan Schoenberger,Corporate,Colorado,0.07,,,,,,1,2012-06-17,37537,Low,43,0.69,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,-1049.85,West,5273,,"$4,083",2012-06-19,Delivery Truck,45,100.98,,,80001
12,Older,,,Less,,,East,67,Elizabeth Moffitt,Consumer,Connecticut,0.09,,,,,,1,2012-06-17,44069,Critical,16,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,26.71,East,6225,,$138,2012-06-19,Express Air,2.15,9.11,,,06928
12,Older,,,Less,,,East,67,David Philippe,Consumer,New York,0.06,,,,,,1,2012-06-17,9285,Critical,3,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,-11.937,East,1279,,$125,2012-06-19,Regular Air,2.99,40.98,,,14210
12,Older,,,Less,,,West,67,Alan Schoenberger,Corporate,Colorado,0.05,,,,,,1,2012-06-17,37537,Low,32,0.59,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,1438.49,West,5274,,"$4,902",2012-06-24,Regular Air,7.07,155.06,,,80001
12,Older,,,Less,,,South,67,Patrick Jones,Home Office,Alabama,0.09,,,,,,1,2012-06-18,40354,High,4,0.64,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,-93.16,South,5704,,$698,2012-06-19,Delivery Truck,52.2,212.6,,,36344
12,Older,,,Less,,,South,67,Larry Tron,Home Office,Virginia,0.05,,,,,,1,2012-06-18,9762,High,12,0.78,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-146.05,South,1336,,$263,2012-06-19,Regular Air,21.2,20.98,,,24157
12,Older,,,Less,,,South,67,Patrick Jones,Home Office,Alabama,0.03,,,,,,1,2012-06-18,40354,High,29,0.37,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,12.5545,South,5705,,$173,2012-06-19,Regular Air,2.99,5.58,,,36344
12,Older,,,Less,,,South,67,Alex Russell,Home Office,South Carolina,0.03,,,,,,1,2012-06-18,7909,High,29,0.44,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,24.55,South,1074,,$122,2012-06-19,Regular Air,1.2,4.26,,,29808
12,Older,,,Less,,,East,67,Bill Donatelli,Corporate,New York,0.03,,,,,,1,2012-06-18,30016,Critical,15,0.4,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,-41.58,East,4223,,$86,2012-06-20,Regular Air,5.66,5.28,,,14925
12,Older,,,Less,,,West,67,Ann Steele,Corporate,Idaho,0,,,,,,1,2012-06-18,11972,Not Specified,4,0.59,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,-519.85,West,1663,,$896,2012-06-20,Delivery Truck,14.7,213.45,,,83810
12,Older,,,Less,,,South,67,Andy Reiter,Corporate,Maryland,0.08,,,,,,1,2012-06-18,9637,Low,12,0.66,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,-236.43,South,1315,,$522,2012-06-20,Regular Air,16.71,43.22,,,20601
12,Older,,,Less,,,East,67,Bill Donatelli,Corporate,New York,0.01,,,,,,1,2012-06-18,30016,Critical,8,0.57,Technology,Small Box,T18,Telephones and Communication,-212.553,East,4224,,$755,2012-06-21,Regular Air,2.5,110.99,,,14925
12,Older,,,Less,,,South,67,Andy Reiter,Corporate,Maryland,0.04,,,,,,1,2012-06-18,9637,Low,12,0.36,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,32.44,South,1316,,$124,2012-06-22,Regular Air,2.27,10.14,,,20601
12,Older,,,Less,,,South,67,Andy Reiter,Corporate,Maryland,0.05,,,,,,1,2012-06-18,9637,Low,49,0.37,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,14440.39,South,1317,,"$28,359",2012-06-25,Regular Air,24.49,574.74,,,20601
12,Older,,,Less,,,Central,67,Dave Hallsten,Home Office,Texas,0.06,,,,,,1,2012-06-19,49730,High,3,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,-394.69,Central,6953,,"$1,040",2012-06-20,Delivery Truck,30,350.98,,,78702
12,Older,,,Less,,,East,67,Tamara Dahlen,Corporate,Delaware,0.03,,,,,,1,2012-06-19,8710,Critical,17,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,-76.015,East,1193,,$63,2012-06-20,Regular Air,6.27,3.36,,,19936
12,Older,,,Less,,,East,67,Tamara Dahlen,Corporate,Delaware,0.07,,,,,,1,2012-06-19,8710,Critical,42,0.35,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,8.33,East,1194,,$151,2012-06-21,Express Air,1.93,3.71,,,19936
12,Older,,,Less,,,Central,67,Valerie Dominguez,Corporate,Ohio,0.09,,,,,,1,2012-06-20,25601,Medium,43,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-131.08,Central,3588,,$257,2012-06-21,Regular Air,4.69,5.98,,,45999
12,Older,,,Less,,,Central,67,Craig Molinari,Small Business,Texas,0,,,,,,1,2012-06-20,28451,Critical,14,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-403.74,Central,3981,,$325,2012-06-21,Regular Air,35,20.34,,,88595
12,Older,,,Less,,,Central,67,Craig Molinari,Small Business,Texas,0.09,,,,,,1,2012-06-20,28451,Critical,6,0.65,Office Supplies,Jumbo Drum,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,-617.72,Central,3982,,"$2,165",2012-06-22,Delivery Truck,99,370.98,,,88595
12,Older,,,Less,,,East,67,Susan Vittorini,Home Office,New Jersey,0.08,,,,,,1,2012-06-20,52386,High,6,0.38,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,-216.76,East,7352,,$701,2012-06-22,Delivery Truck,26.3,120.97,,,07837
12,Older,,,Less,,,Central,67,Craig Molinari,Small Business,Texas,0,,,,,,1,2012-06-20,28451,Critical,33,0.56,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,1054.93,Central,3983,,"$4,914",2012-06-22,Delivery Truck,17.85,145.45,,,88595
12,Older,,,Less,,,West,67,Corey Roper,Small Business,Washington,0.02,,,,,,1,2012-06-21,48226,Low,23,0.62,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-108.8,West,6773,,"$2,357",2012-06-21,Delivery Truck,35.84,100.98,,,98103
12,Older,,,Less,,,East,67,Julia West,Home Office,Mass,0.04,,,,,,1,2012-06-21,23488,Critical,30,0.62,Furniture,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,-11053.6,East,3283,,"$26,133",2012-06-22,Delivery Truck,44.55,880.98,,,02139
12,Older,,,Less,,,East,67,Muhammed Yedwab,Consumer,New York,0.03,,,,,,1,2012-06-21,16770,Critical,17,0.57,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,0.610000000,East,2325,,$37,2012-06-22,Regular Air,0.7,2.1,,,14709
12,Older,,,Less,,,Central,67,Tracy Collins,Consumer,Illinois,0.06,,,,,,1,2012-06-21,16961,Not Specified,27,0.51,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,-37.08,Central,2350,,$47,2012-06-22,Regular Air,1.99,1.7,,,62924
12,Older,,,Less,,,West,67,Craig Leslie,Consumer,Idaho,0.03,,,,,,1,2012-06-21,14274,Not Specified,2,0.55,Technology,Small Box,Accessory35,Telephones and Communication,-164.043,West,2001,,$62,2012-06-22,Regular Air,1.1,35.99,,,83465
12,Older,,,Less,,,West,67,Craig Leslie,Consumer,Idaho,0.01,,,,,,1,2012-06-21,14274,Not Specified,23,0.74,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,112.44,West,2002,,"$3,674",2012-06-23,Delivery Truck,30,150.98,,,83465
12,Older,,,Less,,,South,67,Victor Price,Consumer,North Carolina,0.05,,,,,,1,2012-06-21,6854,Medium,19,0.37,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,2.39,South,947,,$130,2012-06-23,Express Air,4.95,6.64,,,27114
12,Older,,,Less,,,South,67,Victor Price,Consumer,North Carolina,0.07,,,,,,1,2012-06-21,6854,Medium,1,0.35,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,-2.392,South,948,,$22,2012-06-23,Express Air,6.16,7.68,,,27114
12,Older,,,Less,,,West,67,Craig Leslie,Consumer,Idaho,0.01,,,,,,1,2012-06-21,14274,Not Specified,46,0.58,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,-40.72,West,2003,,"$1,414",2012-06-23,Express Air,13.99,28.28,,,83465
12,Older,,,Less,,,Central,67,Tracy Collins,Consumer,Illinois,0.01,,,,,,1,2012-06-21,16961,Not Specified,34,0.4,Office Supplies,Small Box,Xerox 19,Paper,433.24,Central,2351,,"$1,090",2012-06-23,Regular Air,5.09,30.98,,,62924
12,Older,,,Less,,,Central,67,Maribeth Schnelling,Corporate,Illinois,0.09,,,,,,1,2012-06-21,41094,Low,46,0.37,Office Supplies,Small Box,Xerox 227,Paper,-225.86,Central,5794,,$299,2012-06-23,Regular Air,8.73,6.48,,,62924
12,Older,,,Less,,,South,67,Julia Barnett,Home Office,Florida,0.03,,,,,,1,2012-06-21,23488,High,29,0.56,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,-73.19,South,3284,,$102,2012-06-23,Regular Air,3.97,3.28,,,32119
12,Older,,,Less,,,Central,67,Maribeth Schnelling,Corporate,Illinois,0.05,,,,,,1,2012-06-21,41094,Low,6,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-153.46,Central,5795,,$159,2012-06-25,Regular Air,35,20.34,,,62924
12,Older,,,Less,,,East,67,Chloris Kastensmidt,Consumer,New York,0.08,,,,,,1,2012-06-22,43909,High,46,0.37,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,-199.134,East,6199,,$737,2012-06-23,Regular Air,13.18,15.99,,,14210
12,Older,,,Less,,,South,67,Jasper Cacioppo,Home Office,North Carolina,0.05,,,,,,1,2012-06-22,3073,Medium,3,0.4,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,-11.5805,South,450,,$11,2012-06-23,Regular Air,4.77,1.98,,,27801
12,Older,,,Less,,,South,67,Jasper Cacioppo,Home Office,North Carolina,0.07,,,,,,1,2012-06-22,3073,Medium,3,0.41,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,-2314.74,South,452,,"$2,120",2012-06-23,Express Air,24.49,699.99,,,27801
12,Older,,,Less,,,South,67,Jasper Cacioppo,Home Office,North Carolina,0.07,,,,,,1,2012-06-22,3073,Medium,7,0.39,Technology,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,Office Machines,102.610000000,South,451,,"$45,924",2012-06-23,Regular Air,24.49,6783.02,,,27801
12,Older,,,Less,,,East,67,Pauline Chand,Small Business,Connecticut,0.07,,,,,,1,2012-06-22,32295,High,11,0.58,Technology,Small Box,i1000,Telephones and Communication,-112.244,East,4540,,$608,2012-06-23,Regular Air,5.99,65.99,,,06439
12,Older,,,Less,,,East,67,George Ashbrook,Consumer,Delaware,0.09,,,,,,1,2012-06-22,18405,Medium,30,0.37,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,60.2735,East,2538,,$611,2012-06-24,Express Air,8.83,20.98,,,19934
12,Older,,,Less,,,East,67,George Ashbrook,Consumer,Delaware,0.03,,,,,,1,2012-06-22,18405,Medium,2,0.65,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,-263.09,East,2539,,$158,2012-06-25,Regular Air,14.52,73.98,,,19934
12,Older,,,Less,,,South,67,Benjamin Venier,Small Business,Maryland,0.05,,,,,,1,2012-06-22,33923,Low,34,0.58,Technology,Small Box,i1000,Telephones and Communication,425.754,South,4778,,"$1,962",2012-06-26,Regular Air,5.99,65.99,,,21794
12,Older,,,Less,,,Central,67,Julie Kriz,Corporate,Illinois,0.01,,,,,,1,2012-06-22,40704,Low,6,0.56,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,-2.06,Central,5733,,$12,2012-06-27,Regular Air,0.7,1.76,,,62444
12,Older,,,Less,,,West,67,Sandra Flanagan,Home Office,Utah,0.03,,,,,,1,2012-06-23,4193,High,3,0.44,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,64.25,West,611,,$76,2012-06-23,Regular Air,8.99,22.72,,,84791
12,Older,,,Less,,,West,67,Sandra Flanagan,Home Office,Utah,0.07,,,,,,1,2012-06-23,4193,High,16,0.39,Office Supplies,Small Box,Avery 491,Labels,14.42,West,612,,$64,2012-06-23,Regular Air,0.99,4.13,,,84791
12,Older,,,Less,,,South,67,Luke Schmidt,Home Office,Florida,0.07,,,,,,1,2012-06-23,30083,Not Specified,23,0.58,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,20.43,South,4234,,$324,2012-06-24,Regular Air,3.5,14.56,,,32122
12,Older,,,Less,,,East,67,Ruben Dartt,Corporate,New York,0.03,,,,,,1,2012-06-23,7203,High,25,0.38,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,9296.348,East,998,,"$21,752",2012-06-25,Regular Air,19.99,896.99,,,10457
13,Older,,,Less,,,West,67,Mark Haberlin,Small Business,Colorado,0.05,,,,,,1,2012-06-24,31715,Not Specified,44,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-116.87,West,4449,,$145,2012-06-24,Regular Air,3.97,3.28,,,81124
13,Older,,,Less,,,East,67,Joni Blumstein,Home Office,Connecticut,0.02,,,,,,1,2012-06-24,18561,Not Specified,9,0.39,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,-38.9,East,2571,,$46,2012-06-25,Regular Air,6.89,4.13,,,06817
13,Older,,,Less,,,West,67,Mark Haberlin,Small Business,Colorado,0.01,,,,,,1,2012-06-24,31715,Not Specified,11,0.36,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,-53.8545,West,4450,,$69,2012-06-25,Regular Air,7.57,5.38,,,81124
13,Older,,,Less,,,South,67,Cynthia Voltz,Corporate,Maryland,0,,,,,,1,2012-06-24,8576,High,43,0.59,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,-164.25,South,1173,,$541,2012-06-26,Express Air,8.99,11.66,,,20601
13,Older,,,Less,,,West,67,Yana Sorensen,Corporate,California,0.07,,,,,,1,2012-06-24,58343,Not Specified,39,0.4,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,11.32,West,8161,,$122,2012-06-26,Regular Air,1.35,3.29,,,93456
13,Older,,,Less,,,West,67,Mark Haberlin,Small Business,Colorado,0.09,,,,,,1,2012-06-24,31715,Not Specified,24,0.59,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,-4.09,West,4451,,$64,2012-06-26,Regular Air,0.97,2.78,,,81124
13,Older,,,Less,,,West,67,Olvera Toch,Home Office,Colorado,0.1,,,,,,1,2012-06-24,40097,Low,47,0.58,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,-71,West,5666,,$118,2012-06-29,Regular Air,2.4,2.6,,,80621
13,Older,,,Less,,,West,67,Benjamin Patterson,Corporate,Arizona,0.04,,,,,,1,2012-06-24,47138,Low,1,0.59,Technology,Small Box,M70,Telephones and Communication,-506.308,West,6627,,$108,2012-07-01,Regular Air,8.99,125.99,,,85301
13,Older,,,Less,,,West,67,Kristina Nunn,Consumer,Arizona,0.05,,,,,,1,2012-06-25,55367,Critical,31,0.56,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,-686.01,West,7731,,"$2,137",2012-06-26,Delivery Truck,46.74,70.98,,,86409
13,Older,,,Less,,,West,67,Darren Powers,Corporate,Utah,0.06,,,,,,1,2012-06-25,14596,Critical,19,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-53.75,West,2045,,$63,2012-06-26,Regular Air,3.97,3.28,,,84741
13,Older,,,Less,,,West,67,Ann Steele,Corporate,Idaho,0.02,,,,,,1,2012-06-25,44391,Not Specified,16,0.37,Office Supplies,Small Box,Xerox 1996,Paper,-85.23,West,6273,,$113,2012-06-26,Regular Air,9.17,6.48,,,83810
13,Older,,,Less,,,Central,67,Rob Haberlin,Consumer,Michigan,0,,,,,,1,2012-06-25,33988,Medium,30,0.79,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,-128.47,Central,4787,,$165,2012-06-26,Regular Air,5.14,5.02,,,49877
13,Older,,,Less,,,South,67,Giulietta Dortch,Corporate,Georgia,0.02,,,,,,1,2012-06-25,28999,High,34,0.45,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,420.05,South,4073,,"$1,178",2012-06-26,Regular Air,1.99,33.98,,,39901
13,Older,,,Less,,,West,67,Darren Powers,Corporate,Utah,0.01,,,,,,1,2012-06-25,14596,Critical,24,0.43,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,73.33,West,2046,,$199,2012-06-27,Regular Air,0.96,8.34,,,84741
13,Older,,,Less,,,East,67,Maria Bertelson,Home Office,New Jersey,0.01,,,,,,1,2012-06-25,28290,Low,3,0.66,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,-179.36,East,3964,,$524,2012-06-27,Express Air,19.99,161.55,,,07001
13,Older,,,Less,,,West,67,Kristina Nunn,Consumer,Arizona,0.05,,,,,,1,2012-06-25,55367,Critical,48,0.55,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,129.87,West,7732,,$571,2012-06-27,Regular Air,2.36,11.55,,,86409
13,Older,,,Less,,,East,67,Sean Wendt,Corporate,Mass,0.09,,,,,,1,2012-06-25,31553,Critical,32,0.39,Office Supplies,Small Box,Multimedia Mailers,Envelopes,1907.94,East,4425,,"$4,907",2012-06-27,Regular Air,19.99,162.93,,,01059
13,Older,,,Less,,,East,67,Maria Bertelson,Home Office,New Jersey,0.05,,,,,,1,2012-06-25,28290,Low,43,0.74,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,-154.24,East,3965,,"$1,307",2012-06-29,Express Air,8.65,30.42,,,07001
13,Older,,,Less,,,South,67,Michelle Moray,Corporate,Virginia,0.02,,,,,,1,2012-06-25,20037,Low,35,0.42,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,339.58,South,2776,,"$1,009",2012-06-30,Regular Air,8.55,29.18,,,23970
13,Older,,,Less,,,South,67,Michelle Moray,Corporate,Virginia,0.03,,,,,,1,2012-06-25,20037,Low,49,0.57,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,4913.16,South,2775,,"$15,137",2012-06-30,Delivery Truck,14.7,297.64,,,23970
13,Older,,,Less,,,West,67,Bradley Drucker,Small Business,Washington,0.03,,,,,,1,2012-06-26,33797,Not Specified,18,0.36,Office Supplies,Small Box,Xerox 188,Paper,30.53,West,4755,,$217,2012-06-26,Regular Air,5.01,11.34,,,99403
13,Older,,,Less,,,West,67,Bradley Drucker,Small Business,Washington,0.08,,,,,,1,2012-06-26,33797,Not Specified,20,0.57,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,653.68,West,4754,,"$4,531",2012-06-26,Delivery Truck,14.7,297.64,,,99403
13,Older,,,Less,,,West,67,Bradley Drucker,Small Business,Washington,0.02,,,,,,1,2012-06-26,33797,Not Specified,44,0.73,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,-449.04,West,4756,,$575,2012-06-27,Regular Air,14.37,12.99,,,99403
13,Older,,,Less,,,West,67,Bradley Drucker,Small Business,Washington,0.06,,,,,,1,2012-06-26,33797,Not Specified,18,0.52,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,-22.37,West,4757,,$263,2012-06-27,Regular Air,6.75,14.42,,,99403
13,Older,,,Less,,,Central,67,Alan Barnes,Corporate,Michigan,0.06,,,,,,1,2012-06-26,19655,High,31,0.51,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,304.42,Central,2726,,"$1,143",2012-06-27,Regular Air,1.99,39.24,,,48001
13,Older,,,Less,,,West,67,Bradley Drucker,Small Business,Washington,0.05,,,,,,1,2012-06-26,33797,Not Specified,29,0.49,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,-103.78,West,4758,,$138,2012-06-28,Express Air,6.6,4.14,,,99403
13,Older,,,Less,,,Central,67,Andy Gerbode,Consumer,Texas,0.08,,,,,,1,2012-06-26,21830,Low,19,0.56,Technology,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,906.8,Central,3040,,"$6,992",2012-07-03,Delivery Truck,12.06,399.98,,,88595
13,Older,,,Less,,,South,67,Cindy Schnelling,Corporate,Alabama,0.09,,,,,,1,2012-06-27,20549,Not Specified,40,0.67,Office Supplies,Small Box,Fellowes Super Stor/Drawer®,Storage & Organization,-568.71,South,2855,,"$1,030",2012-06-28,Regular Air,19.99,27.75,,,36032
